ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
1,Brisbane,Brisbane International,2024-12-29,ATP250,Outdoor,Hard,1st Round,3,Vukic A.,Goffin D.,68,52,778,1037,6,2,6,3,,,,,,,2,0,Completed,2,1.8,2.08,1.83,2.14,1.83,2.03,1.78,,
1,Brisbane,Brisbane International,2024-12-30,ATP250,Outdoor,Hard,1st Round,3,Michelsen A.,O Connell C.,41,64,1245,795,6,4,4,6,7,6,,,,,2,1,Completed,1.44,2.75,1.48,2.85,1.48,2.9,1.43,2.74,,
1,Brisbane,Brisbane International,2024-12-30,ATP250,Outdoor,Hard,1st Round,3,Bonzi B.,Tabilo A.,75,23,730,1943,6,7,7,6,6,4,,,,,2,1,Completed,1.67,2.2,1.73,2.22,1.73,2.25,1.67,2.18,,
1,Brisbane,Brisbane International,2024-12-30,ATP250,Outdoor,Hard,1st Round,3,Nishioka Y.,Rinderknech A.,69,59,776,927,6,3,6,4,,,,,,,2,0,Completed,1.53,2.5,1.64,2.39,1.65,2.5,1.59,2.36,,
1,Brisbane,Brisbane International,2024-12-30,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Berrettini M.,26,34,1745,1380,3,6,6,3,6,4,,,,,2,1,Completed,2.63,1.5,2.47,1.6,2.63,1.6,2.48,1.54,,
1,Brisbane,Brisbane International,2024-12-30,ATP250,Outdoor,Hard,1st Round,3,Jarry N.,Navone M.,35,47,1370,1148,7,5,7,6,,,,,,,2,0,Completed,1.36,3.2,1.4,3.16,1.4,3.3,1.36,3.13,,
1,Brisbane,Brisbane International,2024-12-30,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Hanfmann Y.,10,96,3350,627,7,6,6,3,,,,,,,2,0,Completed,1.14,5.5,1.15,6.43,1.17,6.43,1.14,5.58,,
1,Brisbane,Brisbane International,2024-12-30,ATP250,Outdoor,Hard,1st Round,3,Lehecka J.,Rune H.,28,13,1660,3025,7,5,6,3,,,,,,,2,0,Completed,2.5,1.53,2.55,1.57,2.55,1.57,2.44,1.54,,
1,Brisbane,Brisbane International,2024-12-31,ATP250,Outdoor,Hard,1st Round,3,Opelka R.,Gomez F.,293,137,176,442,7,5,6,4,,,,,,,2,0,Completed,1.5,2.63,1.54,2.62,1.54,2.75,1.5,2.57,,
1,Brisbane,Brisbane International,2024-12-31,ATP250,Outdoor,Hard,1st Round,3,Arnaldi M.,Popyrin A.,37,24,1345,1865,6,3,6,2,,,,,,,2,0,Completed,2.5,1.53,2.46,1.61,2.51,1.61,2.41,1.56,,
1,Brisbane,Brisbane International,2024-12-31,ATP250,Outdoor,Hard,1st Round,3,Tiafoe F.,Walton A.,18,93,2585,636,7,6,6,3,,,,,,,2,0,Completed,1.22,4.33,1.29,3.93,1.29,4.33,1.24,3.93,,
1,Brisbane,Brisbane International,2024-12-31,ATP250,Outdoor,Hard,1st Round,3,Mensik J.,Kukushkin M.,48,113,1136,542,7,6,6,4,,,,,,,2,0,Completed,1.29,3.75,1.31,3.77,1.33,3.77,1.29,3.54,,
1,Brisbane,Brisbane International,2024-12-31,ATP250,Outdoor,Hard,1st Round,3,Lajovic D.,Cazaux A.,81,63,710,807,6,4,6,4,,,,,,,2,0,Completed,,,,,1.27,3.7,1.27,3.7,,
1,Brisbane,Brisbane International,2024-12-31,ATP250,Outdoor,Hard,1st Round,3,Mpetshi G.,Kyrgios N.,31,N/A,1561,N/A,7,6,6,7,7,6,,,,,2,1,Completed,1.91,1.91,1.96,1.93,2,1.97,1.89,1.89,,
1,Brisbane,Brisbane International,2024-12-31,ATP250,Outdoor,Hard,1st Round,3,Monfils G.,Basavareddy N.,55,138,1005,440,6,4,4,6,6,1,,,,,2,1,Completed,1.62,2.3,1.72,2.23,1.74,2.3,1.67,2.16,,
1,Brisbane,Brisbane International,2024-12-31,ATP250,Outdoor,Hard,1st Round,3,Djokovic N.,Hijikata R.,7,73,3910,746,6,3,6,3,,,,,,,2,0,Completed,1.04,13,1.05,13.89,1.06,13.89,1.04,10.93,,
1,Brisbane,Brisbane International,2025-01-01,ATP250,Outdoor,Hard,2nd Round,3,Lehecka J.,Nishioka Y.,28,69,1660,776,6,2,6,7,6,4,,,,,2,1,Completed,1.36,3.2,1.44,3.01,1.44,3.2,1.4,2.92,,
1,Brisbane,Brisbane International,2025-01-01,ATP250,Outdoor,Hard,2nd Round,3,Jarry N.,Bonzi B.,35,75,1370,730,6,2,6,3,,,,,,,2,0,Completed,2.63,1.5,2.61,1.56,2.63,1.57,2.52,1.52,,
1,Brisbane,Brisbane International,2025-01-01,ATP250,Outdoor,Hard,2nd Round,3,Dimitrov G.,Vukic A.,10,68,3350,778,6,2,7,6,,,,,,,2,0,Completed,1.2,4.5,1.21,5.06,1.22,5.06,1.2,4.42,,
1,Brisbane,Brisbane International,2025-01-01,ATP250,Outdoor,Hard,2nd Round,3,Thompson J.,Michelsen A.,26,41,1745,1245,7,5,6,3,,,,,,,2,0,Completed,1.67,2.2,1.8,2.13,1.8,2.33,1.68,2.16,,
1,Brisbane,Brisbane International,2025-01-02,ATP250,Outdoor,Hard,2nd Round,3,Mensik J.,Lajovic D.,48,81,1136,710,6,3,6,2,,,,,,,2,0,Completed,1.25,4,1.28,4.15,1.28,4.15,1.25,3.87,,
1,Brisbane,Brisbane International,2025-01-02,ATP250,Outdoor,Hard,2nd Round,3,Opelka R.,Arnaldi M.,293,37,176,1345,7,6,7,6,,,,,,,2,0,Completed,2.5,1.53,2.55,1.58,2.67,1.62,2.46,1.54,,
1,Brisbane,Brisbane International,2025-01-02,ATP250,Outdoor,Hard,2nd Round,3,Mpetshi G.,Tiafoe F.,31,18,1561,2585,6,4,7,6,,,,,,,2,0,Completed,2,1.8,2.2,1.76,2.2,1.8,2.11,1.72,,
1,Brisbane,Brisbane International,2025-01-02,ATP250,Outdoor,Hard,2nd Round,3,Djokovic N.,Monfils G.,7,55,3910,1005,6,3,6,3,,,,,,,2,0,Completed,1.06,10,1.09,9.51,1.09,10,1.07,8.22,,
1,Brisbane,Brisbane International,2025-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,Lehecka J.,Jarry N.,28,35,1660,1370,6,4,6,4,,,,,,,2,0,Completed,1.36,3.2,1.44,3.03,1.44,3.2,1.39,3,,
