tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-7808,Bengaluru,Hard,32,C,O,20260105,1,MO44,1,,Pedro Martinez,R,185,ESP,,96,643,V993,,,Eero Vasa,R,185,FIN,,489,88,4-6 6-2 6-3,3,R32,129,5,10,91,53,39,19,14,7,10,12,6,88,49,33,16,13,4,9
2026-7808,Bengaluru,Hard,32,C,O,20260105,2,SK94,,,Cedrik-Marcel Stebe,L,180,GER,,346,142,H0CX,7,,Max Houkes,L,188,NED,,245,221,4-6 6-3 6-1,3,R32,150,4,4,93,52,35,24,13,7,9,3,3,97,49,29,25,13,12,17
2026-7808,Bengaluru,Hard,32,C,O,20260105,3,B0WL,,,Felix Balshaw,R,191,FRA,,718,44,HG94,8,,Benjamin Hassan,R,183,LBN,,259,208,6-4 6-1,3,R32,307,8,5,66,35,28,15,9,7,8,2,1,48,29,18,6,8,3,7
2026-7808,Bengaluru,Hard,32,C,O,20260105,4,GG65,,,Michael Geerts,R,178,BEL,,295,178,GJ05,,,Alexis Gautier,R,198,FRA,,759,38,3-6 6-4 6-3,3,R32,536,9,4,95,51,39,22,14,8,10,11,5,104,64,43,20,14,9,12
2026-7808,Bengaluru,Hard,32,C,O,20260105,5,GH92,,,Borna Gojo,R,196,CRO,,293,178,S0RI,,,Karan Singh,R,185,IND,,466,94,6-2 6-4,3,R32,64,13,0,42,30,27,9,9,0,0,4,2,66,47,27,11,9,2,5
2026-7808,Bengaluru,Hard,32,C,O,20260105,6,L0I5,,,Mitsuki Wei Kang Leong,R,175,MAS,,774,36,O09A,,,Aziz Ouakaa,R,185,TUN,,656,53,6-2 6-2,3,R32,65,3,2,42,30,26,5,8,0,1,2,1,52,28,14,8,8,3,8
2026-7808,Bengaluru,Hard,32,C,O,20260105,7,S0DE,,,Dhakshineswar Suresh,R,196,IND,,521,79,A0CJ,,,Duje Ajdukovic,R,188,CRO,,329,153,6-4 6-4,3,R32,59,20,2,52,38,34,7,10,0,0,6,3,52,31,25,10,10,1,3
2026-7808,Bengaluru,Hard,32,C,O,20260105,8,V0D4,,,Eric Vanshelboim,R,188,UKR,,470,93,V0D0,,,Niels Visker,R,191,NED,,702,46,3-6 6-2 6-4,3,R32,109,3,2,94,67,48,14,14,9,11,5,3,72,45,33,13,13,5,8
2026-7808,Bengaluru,Hard,32,C,O,20260105,9,Z09Z,,,Beibit Zhukayev,R,198,KAZ,,277,193,S0W8,,,Aryan Shah,R,183,IND,,398,119,6-1 6-2,3,R32,77,11,3,52,31,25,11,8,4,4,1,5,51,25,14,11,7,4,8
2026-7808,Bengaluru,Hard,32,C,O,20260105,10,M0G4,2,,Harold Mayot,R,180,FRA,,167,345,B0LQ,,,Petr Bar Biryukov,L,196,RUS,,326,156,6-1 6-4,3,R32,65,2,3,53,32,24,12,9,1,2,4,11,56,26,20,9,8,3,7
